,id,description,photo,article,name,price
0,4661062,"Состав :
-Чикен Хот
-Запеченый с крабом
-Филадельфия",https://sun2.tele2-nn.userapi.com/c853524/v853524088/255f04/DA-U70naLtE.jpg,,сет Лайк,599.0
1,4294918,"Состав: Тай темпура, Запеченный с курицей, Люкс с огурцом.
Вес: 900 гр.",https://sun9-69.userapi.com/kZ8-G_-QdGaPvWj8Xwa4ZpWNJPYMiCME4V5TEQ/V5I8t59uFMU.jpg,,Сет №8,420.0
2,2904863,"Состав:  Филадельфия, Канада, Калифорния, Чикен ролл, Тритон, Ролл с огурцом.
Вес: 1500 гр.",https://sun9-37.userapi.com/8yiwQ3FAM-5zDQiG6kZTFlARTDcTu2E8yLZO2g/aMeZPHANhCw.jpg,,Сет №1,999.0
3,3778792,"Состав: Цезарь, Калифорния, Запеченный с мидиями, классический с огурцом.
Вес: 1000 гр.",https://sun9-73.userapi.com/z_OYfiP2ULQsMgjsr75uZ3GIxRCPiL5QNCBgkQ/nfG35r_gHs4.jpg,,Сет №9,530.0
4,2904867,"Состав: Тай темпура, Хот фиш, Галактика спайс, Люкс с лососем, Ролл с огурцом.
Вес: 1300 гр.",https://sun9-72.userapi.com/a9le407X4OEiIYfljHjAhKEx5Z4W6b9ecliL5A/iYjmsLCWrz4.jpg,,Сет №7,700.0
5,4281144,"Состав: Хот фиш , Сенсей , Сенсей в кунжуте
Вес: 900 грамм,24 штуки",https://sun9-75.userapi.com/9wJQGK7fbdi3NQMRLloLgtF2q4nGMwinIMSR4Q/sieJhOMRM_0.jpg,,Рыбный Бум,620.0
6,2904871,"Состав: Де люкс с мидиями, Де люкс с сурими, Де люкс с окунем.
Вес: 950 гр.",https://sun9-14.userapi.com/nh_JKcKLrhbSmSu9hyiF0dbVTvEcsfKNnxb7Yg/c8McT8WKhCs.jpg,,Сет №10,500.0
7,2904864,"Состав: Цезарь темпурный, Рио, Запеченный с лососем.
Вес: 1100 гр.",https://sun9-11.userapi.com/n8XngDCqtR5WrFbzytQWJUXSpUo5M3oy920cNA/7-xyF0Gm-_Q.jpg,,Сет №3,580.0
8,3532526,"Состав: Спайс темпура 4 шт., Цезарь темпура 4 шт., Калифорния 4 шт., Чикен ролл 4 шт., Ролл с огурцом 8 шт., Ролл с жареным лососем 4 шт., Ролл с копченым кальмаром 4 шт.
Вес: 900 гр.
",https://sun9-69.userapi.com/PFhW6LXVmmDOyxbAnohXJel8zOfXLCiwFKalrA/Q9MrsDBwmvU.jpg,,Сет №6,530.0
9,2912222,"Состав: Филадельфия, Сливочный краб, Калифорния.
Вес: 900 гр.",https://sun9-55.userapi.com/QA_2wfbbLesVNx45gqCF63OkrIG2-__d1Cjm8Q/9Mtkl4_VUus.jpg,,Сет №4,520.0
10,2935604,"Состав: Дуэт дабл, Томаго ролл, Калифорния apple, Киото запеченный, Филадельфия хот, Запеченный с курицей, Наго. 
Вес: 2250 гр.",https://sun9-50.userapi.com/c847221/v847221991/1802a0/lsD3EMxamq4.jpg,,Сет №2,1350.0
11,4236068,"Состав: Чикен ролл,Дуэт дабл,Чиз ролл, Калифорния с лососем
Вес: 1300 грамм,32 штуки",https://sun9-74.userapi.com/l7k3b222uQKvQX0NkpQD0P4o4fz_aymv5RZK4w/_Er8F80IZBU.jpg,,Космос,949.0
12,4186691,"Состав : краб в темпуре,сыр творожный,рис,кунжут.
Вес:  300 грамм",https://sun9-59.userapi.com/JF1ochP_ZAdMpJHg7agd7oe9ZM7fLCz-pmtieQ/bjYWHMikw34.jpg,,Сливочный краб,150.0
13,4185636,"Состав : Филадельфия , Цезарь Чиз,Сливочный краб,Ред.
Вес:    .32шт",https://sun9-8.userapi.com/MAcRqMOtwSVxmfToccJaGskEvZfE0zw7hzm4Ig/if8fwfRTcb0.jpg,,сет Фиеста,849.0
14,4185632,"Состав: Филадельфия, Сенсей в кунжуте, Мясной, Сливочный краб, Цезарь Чиз, Окинава Хот, Калифорния в темпуре, Томаго Хот
Вес 2300",https://sun9-21.userapi.com/V6PLT_sS_hkUspW64XmfNhbSi6rUgZk12k0HXg/nkWHVhlQGj4.jpg,,Суперсет,1720.0
